# image_id qw qx qy qz Cx Cy Cz camera_id name cluster_label
111 0.45814851 0.03211226 0.83272317 0.30925857 2.14854389 -1.12533810 1.80090586 1 frame_00111.png 0
112 0.44286012 0.03089634 0.83772610 0.31801778 2.05438314 -1.20248947 2.01013606 1 frame_00112.png 0
113 0.41760237 0.02810533 0.84669618 0.32851778 1.92323140 -1.29285303 2.25169423 1 frame_00113.png 0
114 0.38284820 0.02479527 0.85814992 0.34116149 1.74653080 -1.37279101 2.43493056 1 frame_00114.png 0
115 0.35040497 0.02007986 0.86805812 0.35112429 1.61099243 -1.47401230 2.55961160 1 frame_00115.png 0
116 0.31385652 0.01486664 0.87763629 0.36197736 1.46773033 -1.57540914 2.68699098 1 frame_00116.png 0
117 0.27123929 0.00845103 0.88667956 0.37437573 1.30999453 -1.72934814 2.80496777 1 frame_00117.png 0
118 0.22342087 0.00022250 0.89563600 0.38460267 1.11172183 -1.82165656 2.87283171 1 frame_00118.png 0
119 0.18235615 -0.00701234 0.90208310 0.39107946 0.92334014 -1.89776775 2.91543290 1 frame_00119.png 0
120 0.14394136 -0.01283091 0.90746265 0.39449688 0.71005015 -1.95154061 2.98519475 1 frame_00120.png 0
121 0.11334147 -0.01725533 0.91107135 0.39598605 0.50948985 -1.99606486 3.08420392 1 frame_00121.png 0
122 0.07677970 -0.02097886 0.91601204 0.39317517 0.21646116 -2.09808256 3.15423038 1 frame_00122.png 0
123 0.05299550 -0.02291144 0.91857055 0.39101749 0.03535058 -2.10472647 3.15544075 1 frame_00123.png 0
124 0.01078282 -0.02387347 0.92184953 0.38666166 -0.27333724 -2.09326505 3.11796676 1 frame_00124.png 0
125 -0.02607183 -0.02432560 0.92299509 0.38315609 -0.52783746 -2.07202200 3.12591459 1 frame_00125.png 0
126 -0.05170178 -0.02504539 0.92237637 0.38199671 -0.75107179 -2.07867614 3.12909911 1 frame_00126.png 0
127 -0.09135703 -0.02568833 0.92068207 0.37860075 -1.03377588 -2.05829210 3.08261623 1 frame_00127.png 0
258 0.90551279 -0.14921469 -0.39565073 -0.03524289 -1.75453786 2.36513872 -2.58998891 1 frame_00258.png 2
1 0.56601794 0.03874156 0.76535194 0.30390655 2.39746643 -0.98585162 1.47745124 1 frame_00001.png 0
259 0.91965780 -0.15957651 -0.35767649 -0.02885129 -1.54653023 2.43050806 -2.76630165 1 frame_00259.png 2
2 0.56315178 0.04289495 0.76660431 0.30551257 2.37953958 -0.99463642 1.51441039 1 frame_00002.png 0
260 0.93002285 -0.15857627 -0.33040564 -0.02726111 -1.41363198 2.45385822 -2.89590457 1 frame_00260.png 2
3 0.55855091 0.04629430 0.76900738 0.30741725 2.32842045 -1.02498680 1.63059975 1 frame_00003.png 0
261 0.93717087 -0.16590122 -0.30609625 -0.02219528 -1.27949771 2.48835152 -2.98776675 1 frame_00261.png 2
4 0.55136832 0.04930330 0.77317905 0.30944517 2.25421972 -1.06292892 1.78175131 1 frame_00004.png 0
262 0.94637077 -0.17106670 -0.27353131 -0.01729672 -1.12129045 2.50492140 -3.09433711 1 frame_00262.png 2
5 0.54034919 0.05261096 0.77933242 0.31288307 2.16322297 -1.12086144 1.96315989 1 frame_00005.png 0
263 0.95658582 -0.17891285 -0.22983408 -0.01049034 -0.92382034 2.50930536 -3.22597355 1 frame_00263.png 2
6 0.52471850 0.05585554 0.78792038 0.31738326 2.05437620 -1.15036137 2.11077288 1 frame_00006.png 0
294 0.63140532 -0.08723953 0.75856210 0.13527795 3.23671537 1.08560016 -0.08514296 1 frame_00294.png 2
37 0.56263858 -0.00723920 -0.76791973 -0.30607958 -3.37729932 -0.81099301 1.95050033 1 frame_00037.png 0
295 0.61634541 -0.08425993 0.77073016 0.13781738 3.18896865 1.01483830 0.14684062 1 frame_00295.png 1
38 0.59857974 -0.00476864 -0.74547091 -0.29317686 -3.45775340 -0.73592213 1.73402731 1 frame_00038.png 0
296 0.59960968 -0.08089236 0.78396585 0.13900435 3.12039561 0.90921352 0.39461968 1 frame_00296.png 1
39 0.62219839 -0.00255527 -0.72977709 -0.28335143 -3.47485387 -0.66024015 1.56015189 1 frame_00039.png 0
297 0.58056657 -0.07563797 0.79842272 0.14050806 3.04274622 0.83238648 0.65016545 1 frame_00297.png 1
40 0.64855640 -0.00060206 -0.71020093 -0.27384097 -3.43366964 -0.56814046 1.34535062 1 frame_00040.png 0
298 0.56224273 -0.06925130 0.81180561 0.14162991 2.96361216 0.75178074 0.88571396 1 frame_00298.png 1
41 0.67095646 0.00018611 -0.69284545 -0.26416393 -3.41890227 -0.50718970 1.11988186 1 frame_00041.png 1
299 0.55266708 -0.06491045 0.81846297 0.14305279 2.91482702 0.70529271 1.02191825 1 frame_00299.png 1
42 0.69555025 -0.00117092 -0.67230505 -0.25340559 -3.45589279 -0.40667350 0.84768889 1 frame_00042.png 1
300 0.53555003 -0.05830671 0.83018404 0.14346066 2.79761986 0.62452352 1.29405308 1 frame_00300.png 1
43 0.71112600 -0.00151478 -0.65873812 -0.24568600 -3.47613768 -0.33545236 0.63514500 1 frame_00043.png 1
301 0.52200836 -0.05298018 0.83895381 0.14441907 2.70128099 0.51934457 1.50947328 1 frame_00301.png 1
44 0.72834480 -0.00378907 -0.64312741 -0.23640355 -3.44811582 -0.23609356 0.40976972 1 frame_00044.png 1
